year,country,session,happiness_average,happiness_standard_deviation
1946,ARG,01,5.403214053350683,1.1226000650618086
1946,AUS,01,5.364306208842897,1.1006462370649106
1946,BEL,01,5.311739696312364,1.1058151409978307
1946,BLR,01,5.353793599424668,1.1273797554836391
1946,BOL,01,5.417879008746356,1.1240598396501458
1946,BRA,01,5.448512931034482,1.1215647270114943
1946,CAN,01,5.423314407381121,1.121734634492548
1946,CHL,01,5.391359300476948,1.1175201907790144
1946,CHN,01,5.436407909190773,1.124466019772977
1946,COL,01,5.3742621114533735,1.1123322318678242
1946,CSK,01,5.509067930489731,1.127963981042654
1946,CUB,01,5.39245810055866,1.1233715083798883
1946,ECU,01,5.452497472194135,1.1301115267947421
1946,EGY,01,5.390632183908046,1.1077254515599344
1946,FRA,01,5.385529324972335,1.1273355957211362
1946,GBR,01,5.397675418741512,1.1386980534178361
1946,GRC,01,5.422900330656589,1.1148235238545112
1946,HTI,01,5.381793103448277,1.135463908045977
1946,IND,01,5.462491178546225,1.1312835568101622
1946,IRN,01,5.426282306163022,1.117665009940358
1946,LBN,01,5.444444444444445,1.1268366852886407
1946,LBR,01,5.4352100840336135,1.1170622549019609
1946,LUX,01,5.417407878017789,1.1130170266836088
1946,MEX,01,5.36443402545211,1.1194764902880108
1946,NLD,01,5.440434782608696,1.109543328335832
1946,NOR,01,5.409567816091955,1.1214182988505745
1946,NZL,01,5.395601277715144,1.1060100526118
1946,PER,01,5.385110526315789,1.101777105263158
1946,PHL,01,5.405249320036265,1.1192376699909339
1946,POL,01,5.408959349593497,1.1324562601626016
1946,RUS,01,5.351542000593648,1.1118452359750668
1946,SAU,01,5.528181818181817,1.1402955512572532
1946,SYR,01,5.414317718940937,1.1042790902919213
1946,TUR,01,5.424915824915825,1.1189491582491582
1946,UKR,01,5.298635552155062,1.1077818413669984
1946,URY,01,5.442325581395349,1.123805101275319
1946,USA,01,5.3995466298913986,1.1171031373901052
1946,VEN,01,5.400012262415696,1.1085707541385652
1946,YUG,01,5.318528943175783,1.11323931669322
1947,ARG,02,5.332888619365272,1.1135461896098644
1947,AUS,02,5.321678119349006,1.1131875045207957
1947,BLR,02,5.308824806949806,1.1347611486486484
1947,BRA,02,5.375963699222127,1.101257605877269
1947,CAN,02,5.375849731663685,1.1205711091234345
1947,CHL,02,5.433718021603184,1.1259096077316657
1947,CHN,02,5.358829141370338,1.1157672159583696
1947,COL,02,5.391564285714286,1.1277604047619045
1947,CSK,02,5.404319290465632,1.1368568070953435
